월,지역,성수기,웨딩홀계수,예상돌잔치수요,웨딩홀수용가능,숨은공간필요수요,확보숨은공간,부족분,추천액션
2025-06,경남,비수기,0.9,280.3,144.0,136.3,45.0,91.3,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2025-06,경북,비수기,0.9,203.8,126.0,77.8,35.0,42.8,"정원형 2곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2025-06,대구,비수기,0.9,229.2,180.0,49.2,50.0,0.0,
2025-06,부산,비수기,0.9,305.6,198.0,107.6,60.0,47.6,"정원형 2곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2025-07,강원,비수기,0.9,86.1,81.0,5.1,25.0,0.0,
2025-07,경남,비수기,0.9,270.8,144.0,126.8,45.0,81.8,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2025-07,경북,비수기,0.9,196.8,126.0,70.8,35.0,35.8,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2025-07,대구,비수기,0.9,221.4,180.0,41.4,50.0,0.0,
2025-07,부산,비수기,0.9,295.4,198.0,97.4,60.0,37.4,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2025-08,강원,비수기,0.9,84.8,81.0,3.8,25.0,0.0,
2025-08,경남,비수기,0.9,266.8,144.0,122.8,45.0,77.8,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2025-08,경북,비수기,0.9,193.9,126.0,67.9,35.0,32.9,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2025-08,대구,비수기,0.9,218.2,180.0,38.2,50.0,0.0,
2025-08,부산,비수기,0.9,291.1,198.0,93.1,60.0,33.1,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2025-09,강원,성수기,0.5,85.6,45.0,40.6,25.0,15.6,"정원형 1곳, 프라이빗 독채형 1곳"
2025-09,경남,성수기,0.5,268.9,80.0,188.9,45.0,143.9,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2025-09,경북,성수기,0.5,195.5,70.0,125.5,35.0,90.5,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2025-09,대구,성수기,0.5,220.0,100.0,120.0,50.0,70.0,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2025-09,부산,성수기,0.5,293.2,110.0,183.2,60.0,123.2,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-10,강원,성수기,0.5,87.8,45.0,42.8,25.0,17.8,"정원형 1곳, 프라이빗 독채형 1곳"
2025-10,경남,성수기,0.5,276.5,80.0,196.5,45.0,151.5,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 3곳"
2025-10,경북,성수기,0.5,200.9,70.0,130.9,35.0,95.9,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2025-10,대구,성수기,0.5,226.0,100.0,126.0,50.0,76.0,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2025-10,부산,성수기,0.5,301.6,110.0,191.6,60.0,131.6,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2025-11,강원,성수기,0.5,91.3,45.0,46.3,25.0,21.3,"정원형 2곳, 프라이빗 독채형 1곳"
2025-11,경남,성수기,0.5,287.0,80.0,207.0,45.0,162.0,"정원형 8곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2025-11,경북,성수기,0.5,208.7,70.0,138.7,35.0,103.7,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-11,대구,성수기,0.5,234.6,100.0,134.6,50.0,84.6,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2025-11,부산,성수기,0.5,312.9,110.0,202.9,60.0,142.9,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2025-12,강원,비수기,0.9,94.5,81.0,13.5,25.0,0.0,
2025-12,경남,비수기,0.9,297.3,144.0,153.3,45.0,108.3,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2025-12,경북,비수기,0.9,216.3,126.0,90.3,35.0,55.3,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2025-12,대구,비수기,0.9,243.3,180.0,63.3,50.0,13.3,"정원형 1곳, 프라이빗 독채형 1곳"
2025-12,부산,비수기,0.9,324.5,198.0,126.5,60.0,66.5,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2026-01,강원,비수기,0.9,96.9,81.0,15.9,25.0,0.0,
2026-01,경남,비수기,0.9,304.8,144.0,160.8,45.0,115.8,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2026-01,경북,비수기,0.9,221.7,126.0,95.7,35.0,60.7,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2026-01,대구,비수기,0.9,249.2,180.0,69.2,50.0,19.2,"정원형 1곳, 프라이빗 독채형 1곳"
2026-01,부산,비수기,0.9,332.4,198.0,134.4,60.0,74.4,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-02,강원,비수기,0.9,97.5,81.0,16.5,25.0,0.0,
2026-02,경남,비수기,0.9,306.7,144.0,162.7,45.0,117.7,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2026-02,경북,비수기,0.9,223.0,126.0,97.0,35.0,62.0,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2026-02,대구,비수기,0.9,250.8,180.0,70.8,50.0,20.8,"정원형 2곳, 프라이빗 독채형 1곳"
2026-02,부산,비수기,0.9,334.5,198.0,136.5,60.0,76.5,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-03,강원,성수기,0.5,96.1,45.0,51.1,25.0,26.1,"정원형 2곳, 프라이빗 독채형 1곳"
2026-03,경남,성수기,0.5,302.7,80.0,222.7,45.0,177.7,"정원형 9곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2026-03,경북,성수기,0.5,220.0,70.0,150.0,35.0,115.0,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2026-03,대구,성수기,0.5,247.6,100.0,147.6,50.0,97.6,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2026-03,부산,성수기,0.5,330.2,110.0,220.2,60.0,160.2,"정원형 8곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2026-04,강원,성수기,0.5,93.1,45.0,48.1,25.0,23.1,"정원형 2곳, 프라이빗 독채형 1곳"
2026-04,경남,성수기,0.5,293.5,80.0,213.5,45.0,168.5,"정원형 8곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2026-04,경북,성수기,0.5,213.3,70.0,143.3,35.0,108.3,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2026-04,대구,성수기,0.5,240.0,100.0,140.0,50.0,90.0,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-04,부산,성수기,0.5,319.9,110.0,209.9,60.0,149.9,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2026-05,강원,성수기,0.5,89.4,45.0,44.4,25.0,19.4,"정원형 1곳, 프라이빗 독채형 1곳"
2026-05,경남,성수기,0.5,281.1,80.0,201.1,45.0,156.1,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 3곳"
2026-05,경북,성수기,0.5,204.4,70.0,134.4,35.0,99.4,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2026-05,대구,성수기,0.5,230.0,100.0,130.0,50.0,80.0,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-05,부산,성수기,0.5,306.7,110.0,196.7,60.0,136.7,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2026-06,강원,비수기,0.9,85.6,81.0,4.6,25.0,0.0,
2026-06,경남,비수기,0.9,268.9,144.0,124.9,45.0,79.9,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-06,경북,비수기,0.9,195.5,126.0,69.5,35.0,34.5,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2026-06,대구,비수기,0.9,220.0,180.0,40.0,50.0,0.0,
2026-06,부산,비수기,0.9,293.5,198.0,95.5,60.0,35.5,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2026-07,강원,비수기,0.9,82.6,81.0,1.6,25.0,0.0,
2026-07,경남,비수기,0.9,259.7,144.0,115.7,45.0,70.7,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-07,경북,비수기,0.9,189.0,126.0,63.0,35.0,28.0,"정원형 2곳, 프라이빗 독채형 1곳"
2026-07,대구,비수기,0.9,212.5,180.0,32.5,50.0,0.0,
2026-07,부산,비수기,0.9,283.5,198.0,85.5,60.0,25.5,"정원형 2곳, 프라이빗 독채형 1곳"
2026-08,강원,비수기,0.9,81.3,81.0,0.3,25.0,0.0,
2026-08,경남,비수기,0.9,256.0,144.0,112.0,45.0,67.0,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2026-08,경북,비수기,0.9,186.0,126.0,60.0,35.0,25.0,"정원형 2곳, 프라이빗 독채형 1곳"
2026-08,대구,비수기,0.9,209.5,180.0,29.5,50.0,0.0,
2026-08,부산,비수기,0.9,279.2,198.0,81.2,60.0,21.2,"정원형 2곳, 프라이빗 독채형 1곳"
2026-09,강원,성수기,0.5,82.1,45.0,37.1,25.0,12.1,"정원형 1곳, 프라이빗 독채형 1곳"
2026-09,경남,성수기,0.5,258.1,80.0,178.1,45.0,133.1,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2026-09,경북,성수기,0.5,187.7,70.0,117.7,35.0,82.7,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-09,대구,성수기,0.5,211.1,100.0,111.1,50.0,61.1,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2026-09,부산,성수기,0.5,281.6,110.0,171.6,60.0,111.6,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2026-10,강원,성수기,0.5,84.2,45.0,39.2,25.0,14.2,"정원형 1곳, 프라이빗 독채형 1곳"
2026-10,경남,성수기,0.5,265.4,80.0,185.4,45.0,140.4,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2026-10,경북,성수기,0.5,193.0,70.0,123.0,35.0,88.0,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-10,대구,성수기,0.5,217.1,100.0,117.1,50.0,67.1,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2026-10,부산,성수기,0.5,289.4,110.0,179.4,60.0,119.4,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2026-11,강원,성수기,0.5,87.5,45.0,42.5,25.0,17.5,"정원형 1곳, 프라이빗 독채형 1곳"
2026-11,경남,성수기,0.5,275.4,80.0,195.4,45.0,150.4,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 3곳"
2026-11,경북,성수기,0.5,200.3,70.0,130.3,35.0,95.3,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2026-11,대구,성수기,0.5,225.4,100.0,125.4,50.0,75.4,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2026-11,부산,성수기,0.5,300.5,110.0,190.5,60.0,130.5,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2026-12,강원,비수기,0.9,90.7,81.0,9.7,25.0,0.0,
2026-12,경남,비수기,0.9,285.4,144.0,141.4,45.0,96.4,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2026-12,경북,비수기,0.9,207.6,126.0,81.6,35.0,46.6,"정원형 2곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2026-12,대구,비수기,0.9,233.5,180.0,53.5,50.0,3.5,정원형 1곳
2026-12,부산,비수기,0.9,311.6,198.0,113.6,60.0,53.6,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-01,강원,비수기,0.9,92.1,81.0,11.1,25.0,0.0,
2027-01,경남,비수기,0.9,289.7,144.0,145.7,45.0,100.7,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-01,경북,비수기,0.9,210.6,126.0,84.6,35.0,49.6,"정원형 2곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-01,대구,비수기,0.9,236.8,180.0,56.8,50.0,6.8,정원형 1곳
2027-01,부산,비수기,0.9,315.6,198.0,117.6,60.0,57.6,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-02,강원,비수기,0.9,92.6,81.0,11.6,25.0,0.0,
2027-02,경남,비수기,0.9,291.3,144.0,147.3,45.0,102.3,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-02,경북,비수기,0.9,211.9,126.0,85.9,35.0,50.9,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-02,대구,비수기,0.9,238.4,180.0,58.4,50.0,8.4,정원형 1곳
2027-02,부산,비수기,0.9,317.8,198.0,119.8,60.0,59.8,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-03,강원,성수기,0.5,91.3,45.0,46.3,25.0,21.3,"정원형 2곳, 프라이빗 독채형 1곳"
2027-03,경남,성수기,0.5,287.6,80.0,207.6,45.0,162.6,"정원형 8곳, 프라이빗 독채형 6곳, 한옥/고택형 3곳"
2027-03,경북,성수기,0.5,209.0,70.0,139.0,35.0,104.0,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-03,대구,성수기,0.5,235.2,100.0,135.2,50.0,85.2,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2027-03,부산,성수기,0.5,313.7,110.0,203.7,60.0,143.7,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2027-04,강원,성수기,0.5,88.6,45.0,43.6,25.0,18.6,"정원형 1곳, 프라이빗 독채형 1곳"
2027-04,경남,성수기,0.5,278.9,80.0,198.9,45.0,153.9,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 3곳"
2027-04,경북,성수기,0.5,202.5,70.0,132.5,35.0,97.5,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2027-04,대구,성수기,0.5,228.2,100.0,128.2,50.0,78.2,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2027-04,부산,성수기,0.5,304.0,110.0,194.0,60.0,134.0,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2027-05,강원,성수기,0.5,84.8,45.0,39.8,25.0,14.8,"정원형 1곳, 프라이빗 독채형 1곳"
2027-05,경남,성수기,0.5,267.0,80.0,187.0,45.0,142.0,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2027-05,경북,성수기,0.5,194.1,70.0,124.1,35.0,89.1,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2027-05,대구,성수기,0.5,218.4,100.0,118.4,50.0,68.4,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-05,부산,성수기,0.5,291.3,110.0,181.3,60.0,121.3,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-06,강원,비수기,0.9,81.3,81.0,0.3,25.0,0.0,
2027-06,경남,비수기,0.9,255.4,144.0,111.4,45.0,66.4,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-06,경북,비수기,0.9,185.8,126.0,59.8,35.0,24.8,"정원형 2곳, 프라이빗 독채형 1곳"
2027-06,대구,비수기,0.9,209.0,180.0,29.0,50.0,0.0,
2027-06,부산,비수기,0.9,278.9,198.0,80.9,60.0,20.9,"정원형 2곳, 프라이빗 독채형 1곳"
2027-07,강원,비수기,0.9,78.6,81.0,0.0,25.0,0.0,
2027-07,경남,비수기,0.9,246.8,144.0,102.8,45.0,57.8,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-07,경북,비수기,0.9,179.5,126.0,53.5,35.0,18.5,"정원형 1곳, 프라이빗 독채형 1곳"
2027-07,대구,비수기,0.9,202.0,180.0,22.0,50.0,0.0,
2027-07,부산,비수기,0.9,269.5,198.0,71.5,60.0,11.5,"정원형 1곳, 프라이빗 독채형 1곳"
2027-08,강원,비수기,0.9,77.2,81.0,0.0,25.0,0.0,
2027-08,경남,비수기,0.9,243.3,144.0,99.3,45.0,54.3,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-08,경북,비수기,0.9,176.8,126.0,50.8,35.0,15.8,"정원형 1곳, 프라이빗 독채형 1곳"
2027-08,대구,비수기,0.9,199.0,180.0,19.0,50.0,0.0,
2027-08,부산,비수기,0.9,265.1,198.0,67.1,60.0,7.1,정원형 1곳
2027-09,강원,성수기,0.5,78.0,45.0,33.0,25.0,8.0,정원형 1곳
2027-09,경남,성수기,0.5,245.2,80.0,165.2,45.0,120.2,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-09,경북,성수기,0.5,178.2,70.0,108.2,35.0,73.2,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2027-09,대구,성수기,0.5,200.6,100.0,100.6,50.0,50.6,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-09,부산,성수기,0.5,267.6,110.0,157.6,60.0,97.6,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2027-10,강원,성수기,0.5,79.9,45.0,34.9,25.0,9.9,정원형 1곳
2027-10,경남,성수기,0.5,252.2,80.0,172.2,45.0,127.2,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-10,경북,성수기,0.5,183.3,70.0,113.3,35.0,78.3,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2027-10,대구,성수기,0.5,206.3,100.0,106.3,50.0,56.3,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-10,부산,성수기,0.5,274.9,110.0,164.9,60.0,104.9,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-11,강원,성수기,0.5,83.2,45.0,38.2,25.0,13.2,"정원형 1곳, 프라이빗 독채형 1곳"
2027-11,경남,성수기,0.5,261.6,80.0,181.6,45.0,136.6,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2027-11,경북,성수기,0.5,190.3,70.0,120.3,35.0,85.3,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2027-11,대구,성수기,0.5,214.1,100.0,114.1,50.0,64.1,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2027-11,부산,성수기,0.5,285.4,110.0,175.4,60.0,115.4,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2027-12,강원,비수기,0.9,86.1,81.0,5.1,25.0,0.0,
2027-12,경남,비수기,0.9,271.1,144.0,127.1,45.0,82.1,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2027-12,경북,비수기,0.9,197.4,126.0,71.4,35.0,36.4,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2027-12,대구,비수기,0.9,221.9,180.0,41.9,50.0,0.0,
2027-12,부산,비수기,0.9,295.9,198.0,97.9,60.0,37.9,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2028-01,강원,비수기,0.9,87.5,81.0,6.5,25.0,0.0,
2028-01,경남,비수기,0.9,275.1,144.0,131.1,45.0,86.1,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2028-01,경북,비수기,0.9,200.1,126.0,74.1,35.0,39.1,"정원형 2곳, 프라이빗 독채형 1곳, 한옥/고택형 1곳"
2028-01,대구,비수기,0.9,224.9,180.0,44.9,50.0,0.0,
2028-01,부산,비수기,0.9,300.0,198.0,102.0,60.0,42.0,"정원형 2곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2028-02,강원,비수기,0.9,88.0,81.0,7.0,25.0,0.0,
2028-02,경남,비수기,0.9,276.8,144.0,132.8,45.0,87.8,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2028-02,경북,비수기,0.9,201.4,126.0,75.4,35.0,40.4,"정원형 2곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2028-02,대구,비수기,0.9,226.5,180.0,46.5,50.0,0.0,
2028-02,부산,비수기,0.9,301.9,198.0,103.9,60.0,43.9,"정원형 2곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2028-03,강원,성수기,0.5,86.7,45.0,41.7,25.0,16.7,"정원형 1곳, 프라이빗 독채형 1곳"
2028-03,경남,성수기,0.5,273.2,80.0,193.2,45.0,148.2,"정원형 8곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2028-03,경북,성수기,0.5,198.4,70.0,128.4,35.0,93.4,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 2곳"
2028-03,대구,성수기,0.5,223.3,100.0,123.3,50.0,73.3,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2028-03,부산,성수기,0.5,298.1,110.0,188.1,60.0,128.1,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2028-04,강원,성수기,0.5,84.2,45.0,39.2,25.0,14.2,"정원형 1곳, 프라이빗 독채형 1곳"
2028-04,경남,성수기,0.5,264.9,80.0,184.9,45.0,139.9,"정원형 7곳, 프라이빗 독채형 5곳, 한옥/고택형 2곳"
2028-04,경북,성수기,0.5,192.2,70.0,122.2,35.0,87.2,"정원형 5곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2028-04,대구,성수기,0.5,216.8,100.0,116.8,50.0,66.8,"정원형 4곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2028-04,부산,성수기,0.5,288.9,110.0,178.9,60.0,118.9,"정원형 6곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2028-05,강원,성수기,0.5,80.5,45.0,35.5,25.0,10.5,"정원형 1곳, 프라이빗 독채형 1곳"
2028-05,경남,성수기,0.5,253.8,80.0,173.8,45.0,128.8,"정원형 7곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2028-05,경북,성수기,0.5,184.4,70.0,114.4,35.0,79.4,"정원형 4곳, 프라이빗 독채형 3곳, 한옥/고택형 1곳"
2028-05,대구,성수기,0.5,207.6,100.0,107.6,50.0,57.6,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2028-05,부산,성수기,0.5,276.8,110.0,166.8,60.0,106.8,"정원형 5곳, 프라이빗 독채형 4곳, 한옥/고택형 2곳"
2028-06,강원,비수기,0.9,77.2,81.0,0.0,25.0,0.0,
2028-06,경남,비수기,0.9,242.7,144.0,98.7,45.0,53.7,"정원형 3곳, 프라이빗 독채형 2곳, 한옥/고택형 1곳"
2028-06,경북,비수기,0.9,176.6,126.0,50.6,35.0,15.6,"정원형 1곳, 프라이빗 독채형 1곳"
2028-06,대구,비수기,0.9,198.4,180.0,18.4,50.0,0.0,
2028-06,부산,비수기,0.9,264.9,198.0,66.9,60.0,6.9,정원형 1곳
