수요월,지역,출생월,출생아수,예상이벤트,예상계약,예상매출(원),신뢰도
2026-08,경북,2025-08,689,186.0,7.44,26044200,관측기반
2026-08,대구,2025-08,776,209.5,8.38,29332800,관측기반
2026-08,부산,2025-08,1034,279.2,11.17,39085200,관측기반
2026-09,강원,2025-09,304,82.1,3.28,11491200,관측기반
2026-09,경남,2025-09,956,258.1,10.32,36136800,관측기반
2026-09,경북,2025-09,695,187.7,7.51,26271000,관측기반
2026-09,대구,2025-09,782,211.1,8.45,29559600,관측기반
2026-09,부산,2025-09,1043,281.6,11.26,39425400,관측기반
2026-10,강원,2025-10,312,84.2,3.37,11793600,관측기반
2026-10,경남,2025-10,983,265.4,10.62,37157400,관측기반
2026-10,경북,2025-10,715,193.0,7.72,27027000,관측기반
2026-10,대구,2025-10,804,217.1,8.68,30391200,관측기반
2026-10,부산,2025-10,1072,289.4,11.58,40521600,관측기반
2026-11,강원,2025-11,324,87.5,3.5,12247200,관측기반
2026-11,경남,2025-11,1020,275.4,11.02,38556000,관측기반
2026-11,경북,2025-11,742,200.3,8.01,28047600,관측기반
2026-11,대구,2025-11,835,225.4,9.02,31563000,관측기반
2026-11,부산,2025-11,1113,300.5,12.02,42071400,관측기반
2026-12,강원,2025-12,336,90.7,3.63,12700800,관측기반
2026-12,경남,2025-12,1057,285.4,11.42,39954600,관측기반
2026-12,경북,2025-12,769,207.6,8.31,29068200,관측기반
2026-12,대구,2025-12,865,233.5,9.34,32697000,관측기반
2026-12,부산,2025-12,1154,311.6,12.46,43621200,관측기반
2027-01,강원,2026-01,341,92.1,3.68,12889800,투영기반
2027-01,경남,2026-01,1073,289.7,11.59,40559400,투영기반
2027-01,경북,2026-01,780,210.6,8.42,29484000,투영기반
2027-01,대구,2026-01,877,236.8,9.47,33150600,투영기반
2027-01,부산,2026-01,1169,315.6,12.63,44188200,투영기반
2027-02,강원,2026-02,343,92.6,3.7,12965400,투영기반
2027-02,경남,2026-02,1079,291.3,11.65,40786200,투영기반
2027-02,경북,2026-02,785,211.9,8.48,29673000,투영기반
2027-02,대구,2026-02,883,238.4,9.54,33377400,투영기반
2027-02,부산,2026-02,1177,317.8,12.71,44490600,투영기반
2027-03,강원,2026-03,338,91.3,3.65,12776400,투영기반
2027-03,경남,2026-03,1065,287.6,11.5,40257000,투영기반
2027-03,경북,2026-03,774,209.0,8.36,29257200,투영기반
2027-03,대구,2026-03,871,235.2,9.41,32923800,투영기반
2027-03,부산,2026-03,1162,313.7,12.55,43923600,투영기반
2027-04,강원,2026-04,328,88.6,3.54,12398400,투영기반
2027-04,경남,2026-04,1033,278.9,11.16,39047400,투영기반
2027-04,경북,2026-04,750,202.5,8.1,28350000,투영기반
2027-04,대구,2026-04,845,228.2,9.13,31941000,투영기반
2027-04,부산,2026-04,1126,304.0,12.16,42562800,투영기반
2027-05,강원,2026-05,314,84.8,3.39,11869200,투영기반
2027-05,경남,2026-05,989,267.0,10.68,37384200,투영기반
2027-05,경북,2026-05,719,194.1,7.77,27178200,투영기반
2027-05,대구,2026-05,809,218.4,8.74,30580200,투영기반
2027-05,부산,2026-05,1079,291.3,11.65,40786200,투영기반
2027-06,강원,2026-06,301,81.3,3.25,11377800,투영기반
2027-06,경남,2026-06,946,255.4,10.22,35758800,투영기반
2027-06,경북,2026-06,688,185.8,7.43,26006400,투영기반
2027-06,대구,2026-06,774,209.0,8.36,29257200,투영기반
2027-06,부산,2026-06,1033,278.9,11.16,39047400,투영기반
2027-07,강원,2026-07,291,78.6,3.14,10999800,투영기반
2027-07,경남,2026-07,914,246.8,9.87,34549200,투영기반
2027-07,경북,2026-07,665,179.5,7.18,25137000,투영기반
2027-07,대구,2026-07,748,202.0,8.08,28274400,투영기반
2027-07,부산,2026-07,998,269.5,10.78,37724400,투영기반
2027-08,강원,2026-08,286,77.2,3.09,10810800,투영기반
2027-08,경남,2026-08,901,243.3,9.73,34057800,투영기반
2027-08,경북,2026-08,655,176.8,7.07,24759000,투영기반
2027-08,대구,2026-08,737,199.0,7.96,27858600,투영기반
2027-08,부산,2026-08,982,265.1,10.61,37119600,투영기반
2027-09,강원,2026-09,289,78.0,3.12,10924200,투영기반
2027-09,경남,2026-09,908,245.2,9.81,34322400,투영기반
2027-09,경북,2026-09,660,178.2,7.13,24948000,투영기반
2027-09,대구,2026-09,743,200.6,8.02,28085400,투영기반
2027-09,부산,2026-09,991,267.6,10.7,37459800,투영기반
2027-10,강원,2026-10,296,79.9,3.2,11188800,투영기반
2027-10,경남,2026-10,934,252.2,10.09,35305200,투영기반
2027-10,경북,2026-10,679,183.3,7.33,25666200,투영기반
2027-10,대구,2026-10,764,206.3,8.25,28879200,투영기반
2027-10,부산,2026-10,1018,274.9,10.99,38480400,투영기반
2027-11,강원,2026-11,308,83.2,3.33,11642400,투영기반
2027-11,경남,2026-11,969,261.6,10.47,36628200,투영기반
2027-11,경북,2026-11,705,190.3,7.61,26649000,투영기반
2027-11,대구,2026-11,793,214.1,8.56,29975400,투영기반
2027-11,부산,2026-11,1057,285.4,11.42,39954600,투영기반
2027-12,강원,2026-12,319,86.1,3.45,12058200,투영기반
2027-12,경남,2026-12,1004,271.1,10.84,37951200,투영기반
2027-12,경북,2026-12,731,197.4,7.89,27631800,투영기반
2027-12,대구,2026-12,822,221.9,8.88,31071600,투영기반
2027-12,부산,2026-12,1096,295.9,11.84,41428800,투영기반
2028-01,강원,2027-01,324,87.5,3.5,12247200,투영기반
2028-01,경남,2027-01,1019,275.1,11.01,38518200,투영기반
2028-01,경북,2027-01,741,200.1,8.0,28009800,투영기반
2028-01,대구,2027-01,833,224.9,9.0,31487400,투영기반
2028-01,부산,2027-01,1111,300.0,12.0,41995800,투영기반
2028-02,강원,2027-02,326,88.0,3.52,12322800,투영기반
2028-02,경남,2027-02,1025,276.8,11.07,38745000,투영기반
2028-02,경북,2027-02,746,201.4,8.06,28198800,투영기반
2028-02,대구,2027-02,839,226.5,9.06,31714200,투영기반
2028-02,부산,2027-02,1118,301.9,12.07,42260400,투영기반
2028-03,강원,2027-03,321,86.7,3.47,12133800,투영기반
2028-03,경남,2027-03,1012,273.2,10.93,38253600,투영기반
2028-03,경북,2027-03,735,198.4,7.94,27783000,투영기반
2028-03,대구,2027-03,827,223.3,8.93,31260600,투영기반
2028-03,부산,2027-03,1104,298.1,11.92,41731200,투영기반
2028-04,강원,2027-04,312,84.2,3.37,11793600,투영기반
2028-04,경남,2027-04,981,264.9,10.59,37081800,투영기반
2028-04,경북,2027-04,712,192.2,7.69,26913600,투영기반
2028-04,대구,2027-04,803,216.8,8.67,30353400,투영기반
2028-04,부산,2027-04,1070,288.9,11.56,40446000,투영기반
2028-05,강원,2027-05,298,80.5,3.22,11264400,투영기반
2028-05,경남,2027-05,940,253.8,10.15,35532000,투영기반
2028-05,경북,2027-05,683,184.4,7.38,25817400,투영기반
2028-05,대구,2027-05,769,207.6,8.31,29068200,투영기반
2028-05,부산,2027-05,1025,276.8,11.07,38745000,투영기반
2028-06,강원,2027-06,286,77.2,3.09,10810800,투영기반
2028-06,경남,2027-06,899,242.7,9.71,33982200,투영기반
2028-06,경북,2027-06,654,176.6,7.06,24721200,투영기반
2028-06,대구,2027-06,735,198.4,7.94,27783000,투영기반
2028-06,부산,2027-06,981,264.9,10.59,37081800,투영기반
